canonical_name,entity_type,pi_or_lead,institution,country,city,canonical_url,relevance_class,primary_topics,secondary_topics,relevance_summary,evidence_url_1,evidence_url_2,active_as_of,discovered_via,notes,name,primary_field,secondary_fields,country_or_region,current_affiliation,landmark_contribution,consensus_class,consensus_evidence_1_url,consensus_evidence_2_url,canonical_website,website_type,website_status,maintenance_evidence,active_as_of,hamming_tags,newell_coherence,life_question,life_question_basis,life_question_evidence_url,discovered_via,confidence,notes
Adi Shamir,researcher,Adi Shamir,Weizmann Institute of Science,Israel,,https://www.wisdom.weizmann.ac.il/profile/scientists/shamir-profile.html,CORE,Computer Science / Cryptography,cryptanalysis; secret sharing; cryptographic protocols,"RSA cryptanalysis, secret sharing, and cryptographic constructions that shaped modern secure communication",https://amturing.acm.org/award_winners/shamir_2327851.cfm,https://www.wisdom.weizmann.ac.il/profile/scientists/shamir-profile.html,2026-09-20,ACM Turing Award; Weizmann; canonical cryptography texts,,Adi Shamir,Computer Science / Cryptography,cryptanalysis; secret sharing; cryptographic protocols,Israel,Weizmann Institute of Science,"RSA cryptanalysis, secret sharing, and cryptographic constructions that shaped modern secure communication",broad_consensus,https://amturing.acm.org/award_winners/shamir_2327851.cfm,https://www.wisdom.weizmann.ac.il/profile/scientists/shamir-profile.html,https://www.wisdom.weizmann.ac.il/profile/scientists/shamir-profile.html,institutional_scholarly_profile,current_evergreen,"Weizmann profile carries current research description, publications, and first-person research motivation; audited 2026-09-20",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,How can information be protected while attacks on codes and cryptographic systems are understood?,explicit_self_statement,https://www.wisdom.weizmann.ac.il/profile/scientists/shamir-profile.html,ACM Turing Award; Weizmann; canonical cryptography texts,high,
Dan Boneh,researcher,Dan Boneh,Stanford University,Israel / United States,,https://profiles.stanford.edu/dan-boneh,CORE,Computer Science / Cryptography,applied cryptography; web security; cryptosystems,"Pairing-based cryptography and applied security research spanning cryptosystems, web security, mobile devices, and cryptanalysis",https://www.nasonline.org/member/dan-boneh/,https://profiles.stanford.edu/dan-boneh,2026-09-20,NAS; Stanford Profiles; canonical Applied Cryptography textbook,,Dan Boneh,Computer Science / Cryptography,applied cryptography; web security; cryptosystems,Israel / United States,Stanford University,"Pairing-based cryptography and applied security research spanning cryptosystems, web security, mobile devices, and cryptanalysis",broad_consensus,https://www.nasonline.org/member/dan-boneh/,https://profiles.stanford.edu/dan-boneh,https://profiles.stanford.edu/dan-boneh,institutional_scholarly_profile,current_evergreen,"Stanford profile crawled today, lists current 2026-27 courses, research, awards, and publications; audited 2026-09-20",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,How can cryptography provide usable security for modern computing systems?,research_program_inference,https://profiles.stanford.edu/dan-boneh,NAS; Stanford Profiles; canonical Applied Cryptography textbook,high,
Martin Edward Hellman,researcher,Martin Edward Hellman,"Stanford University, professor emeritus; CISAC affiliate",United States,,https://www-ee.stanford.edu/~hellman/,CORE,computer science / cryptography,information security; nuclear security; peace studies,"Co-invented public-key cryptography and digital signatures, foundations of secure Internet communication.",https://awards.acm.org/about/2015-turing,https://profiles.stanford.edu/martin-hellman,2026-09-20,major_award_expanded_verify_batch_5 Wikidata lead,Living; current personal site explicitly states his Rethinking National Security focus.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='current' mapped to active_maintained; source maintenance wording retained.,Martin Edward Hellman,computer science / cryptography,information security; nuclear security; peace studies,United States,"Stanford University, professor emeritus; CISAC affiliate","Co-invented public-key cryptography and digital signatures, foundations of secure Internet communication.",broad_consensus,https://awards.acm.org/about/2015-turing,https://profiles.stanford.edu/martin-hellman,https://www-ee.stanford.edu/~hellman/,personally directed research website,active_maintained,Personal site is reachable with current focus on national security; Stanford profile has current emeritus affiliation and publications.,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;repeated_research_judgment,strong,"How can cryptography and risk analysis reduce threats to communication, national security, and human survival?",explicit_self_statement,https://www-ee.stanford.edu/~hellman/,major_award_expanded_verify_batch_5 Wikidata lead,high,Living; current personal site explicitly states his Rethinking National Security focus.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='current' mapped to active_maintained; source maintenance wording retained.
Mihir Bellare,researcher,Mihir Bellare,"University of California, San Diego",India / United States,,https://cseweb.ucsd.edu/~mihir/,CORE,Computer Science / Cryptography,provable security; cryptographic foundations; network security,Provable-security framework and foundational methods connecting cryptographic proofs to practical protocols,https://www.nasonline.org/member/mihir-bellare/,https://profiles.ucsd.edu/mihir.bellare,2026-09-20,NAS; UCSD CSE; canonical Modern Cryptography textbook,,Mihir Bellare,Computer Science / Cryptography,provable security; cryptographic foundations; network security,India / United States,"University of California, San Diego",Provable-security framework and foundational methods connecting cryptographic proofs to practical protocols,field_consensus,https://www.nasonline.org/member/mihir-bellare/,https://profiles.ucsd.edu/mihir.bellare,https://cseweb.ucsd.edu/~mihir/,personal_research_site,active_maintained,UCSD profile and personal research page remain current; UCSD faculty directory crawled today; audited 2026-09-20,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,What rigorous foundations make cryptographic security trustworthy in practice?,research_program_inference,https://cseweb.ucsd.edu/~mihir/,NAS; UCSD CSE; canonical Modern Cryptography textbook,high,
Moni Naor,researcher,Moni Naor,Weizmann Institute of Science,Israel,,https://www.weizmann.ac.il/pages/people/2337,CORE,Computer Science / Cryptography,cryptographic primitives; complexity; privacy-preserving computation,"Non-malleable cryptography, traitor tracing, visual cryptography, electronic cash, and proofs of work",https://www.nasonline.org/member/moni-naor/,https://www.weizmann.ac.il/pages/people/2337,2026-09-20,NAS; Weizmann; ACM/IACR recognition,,Moni Naor,Computer Science / Cryptography,cryptographic primitives; complexity; privacy-preserving computation,Israel,Weizmann Institute of Science,"Non-malleable cryptography, traitor tracing, visual cryptography, electronic cash, and proofs of work",broad_consensus,https://www.nasonline.org/member/moni-naor/,https://www.weizmann.ac.il/pages/people/2337,https://www.weizmann.ac.il/pages/people/2337,institutional_scholarly_profile,active_maintained,"Weizmann profile crawled 5 days ago and lists current dean role, 2025 prizes, research highlights, and publications; audited 2026-09-20",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"How can computation and communication remain secure, private, and trustworthy under adversarial conditions?",research_program_inference,https://www.weizmann.ac.il/pages/people/2337,NAS; Weizmann; ACM/IACR recognition,high,
Michael Stonebraker,researcher,Michael Stonebraker,"MIT CSAIL, adjunct professor and principal investigator",United States,,https://www.eecs.mit.edu/people/michael-stonebraker/,CORE,computer science / database systems,data management; distributed systems; software systems,"Created foundational relational and object-relational database systems, including Ingres and Postgres, that shaped modern data management.",https://awards.acm.org/binaries/content/assets/awards/awards-booklet-2024.pdf,https://cap.csail.mit.edu/engage/spotlights/michael-stonebraker,2026-09-20,major_award_expanded_verify_batch_5 Wikidata lead,Living; current MIT scholarly profile.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='current' mapped to active_maintained; source maintenance wording retained.,Michael Stonebraker,computer science / database systems,data management; distributed systems; software systems,United States,"MIT CSAIL, adjunct professor and principal investigator","Created foundational relational and object-relational database systems, including Ingres and Postgres, that shaped modern data management.",broad_consensus,https://awards.acm.org/binaries/content/assets/awards/awards-booklet-2024.pdf,https://cap.csail.mit.edu/engage/spotlights/michael-stonebraker,https://www.eecs.mit.edu/people/michael-stonebraker/,institutional personal profile,active_maintained,"MIT CSAIL and EECS profiles are live with current projects, affiliations and database research.",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;repeated_research_judgment,strong,"How should data systems be designed so that large and changing information can be stored, queried, and used reliably?",research_program_inference,https://cap.csail.mit.edu/engage/spotlights/michael-stonebraker,major_award_expanded_verify_batch_5 Wikidata lead,high,Living; current MIT scholarly profile.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='current' mapped to active_maintained; source maintenance wording retained.
Barbara Liskov,researcher,Barbara Liskov,See canonical website,United States,,https://pmg.csail.mit.edu/~liskov/,CORE,Computer science / Engineering,,"Data abstraction and CLU, object-oriented programming principles, distributed systems, and fault-tolerant computing",https://news.mit.edu/2009/turing-liskov-0310,https://pmg.csail.mit.edu/~liskov/,2026-09-20,stem_initial.csv,Turing Award; Liskov substitution principle and distributed systems work are canonical,Barbara Liskov,Computer science / Engineering,,United States,,"Data abstraction and CLU, object-oriented programming principles, distributed systems, and fault-tolerant computing",field_consensus,https://news.mit.edu/2009/turing-liskov-0310,https://pmg.csail.mit.edu/~liskov/,https://pmg.csail.mit.edu/~liskov/,personal_homepage,active_maintained,MIT personal site remains accessible and maintained as a research archive; current institutional profile confirms living status,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"How can abstractions make complex software reliable, extensible, and understandable?",research_program_inference,https://pmg.csail.mit.edu/~liskov/,stem_initial.csv,high,Turing Award; Liskov substitution principle and distributed systems work are canonical
Tim Berners-Lee,researcher,Tim Berners-Lee,See canonical website,United Kingdom / Switzerland,,https://www.w3.org/People/Berners-Lee/,CORE,Computer science / Engineering,,"Invented the World Wide Web, HTTP, URL, and the institutional standards framework for the open Web",https://amturing.acm.org/award_winners/berners-lee_8091011.cfm,https://www.w3.org/People/Berners-Lee/,2026-09-20,stem_initial.csv,Turing Award; Web is a globally adopted system and standards program,Tim Berners-Lee,Computer science / Engineering,,United Kingdom / Switzerland,,"Invented the World Wide Web, HTTP, URL, and the institutional standards framework for the open Web",field_consensus,https://amturing.acm.org/award_winners/berners-lee_8091011.cfm,https://www.w3.org/People/Berners-Lee/,https://www.w3.org/People/Berners-Lee/,personally_directed_institutional_page,active_maintained,W3C personal profile remains current and describes continuing standards work,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"How can a universal, open information space let people share and build knowledge across networks?",research_program_inference,https://www.w3.org/People/Berners-Lee/,stem_initial.csv,high,Turing Award; Web is a globally adopted system and standards program
Iosif Sifakis,researcher,Iosif Sifakis,Université Grenoble Alpes / Verimag; EPFL,France / Greece,,https://www-verimag.imag.fr/~sifakis/,CORE,computer science / formal methods,model checking; verification; embedded systems; programming languages,Co-created model checking and formal verification methods that became foundational tools for reliable hardware and software systems.,https://awards.acm.org/award_winners/sifakis_1713512,https://www-verimag.imag.fr/~sifakis/,2026-09-20,major_award_expanded_verify_batch_3 Wikidata lead,Living; personally directed site remains substantive though publication list is not recently dated.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='evergreen' mapped to current_evergreen; source maintenance wording retained.,Iosif Sifakis,computer science / formal methods,model checking; verification; embedded systems; programming languages,France / Greece,Université Grenoble Alpes / Verimag; EPFL,Co-created model checking and formal verification methods that became foundational tools for reliable hardware and software systems.,broad_consensus,https://awards.acm.org/award_winners/sifakis_1713512,https://www-verimag.imag.fr/~sifakis/,https://www-verimag.imag.fr/~sifakis/,personally directed research website,current_evergreen,"Personal research site is reachable with biography, research, tools, talks and publications; structured evergreen maintenance.",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;repeated_research_judgment,strong,How can rigorous models and automated verification make complex embedded systems safe and correct?,research_program_inference,https://www-verimag.imag.fr/~sifakis/,major_award_expanded_verify_batch_3 Wikidata lead,high,Living; personally directed site remains substantive though publication list is not recently dated.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='evergreen' mapped to current_evergreen; source maintenance wording retained.
Donald Knuth,researcher,Donald Knuth,See canonical website,United States,,https://www-cs-faculty.stanford.edu/~knuth/,CORE,Computer science / Mathematics,,"Analysis of algorithms, programming-language foundations, The Art of Computer Programming, TeX, and literate programming",https://amturing.acm.org/award_recipient/knuth_1013846.cfm,https://www-cs-faculty.stanford.edu/~knuth/,2026-09-20,stem_initial.csv,Turing Award; canonical textbooks and systems used across computing and mathematics,Donald Knuth,Computer science / Mathematics,,United States,,"Analysis of algorithms, programming-language foundations, The Art of Computer Programming, TeX, and literate programming",field_consensus,https://amturing.acm.org/award_recipient/knuth_1013846.cfm,https://www-cs-faculty.stanford.edu/~knuth/,https://www-cs-faculty.stanford.edu/~knuth/,personal_homepage,active_maintained,"Personal Stanford site maintains TAOCP, TeX, publications, and current fascicle information",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"How can algorithms and programs be analyzed, organized, implemented, and communicated with mathematical precision?",explicit_self_statement,https://amturing.acm.org/award_recipient/knuth_1013846.cfm,stem_initial.csv,high,Turing Award; canonical textbooks and systems used across computing and mathematics
Vint Cerf,researcher,Vint Cerf,"Google, Vice President and Chief Internet Evangelist",United States,,https://cloud.google.com/transform/vint-cerf-on-50-years-of-the-internet-we-still-have-a-lot-of-work-to-do,CORE,Computer Science / Networking,Internet architecture; protocols; distributed systems,Co-designed TCP/IP and the foundational Internet architecture,https://amturing.acm.org/award_winners/cerf_1083211.cfm,https://www.internethalloffame.org/vint-cerf/,2026-09-20,ACM Turing Award; Internet Hall of Fame; Google Research; Internet standards adoption,Final canonical repair 2026-09-20: replaced failed canonical URL with current qualifying source.,Vint Cerf,Computer Science / Networking,Internet architecture; protocols; distributed systems,United States,"Google, Vice President and Chief Internet Evangelist",Co-designed TCP/IP and the foundational Internet architecture,broad_consensus,https://amturing.acm.org/award_winners/cerf_1083211.cfm,https://www.internethalloffame.org/vint-cerf/,https://cloud.google.com/transform/vint-cerf-on-50-years-of-the-internet-we-still-have-a-lot-of-work-to-do,substantive_institutional_page,active_maintained,"Google Cloud interview crawled 2026-09-20; current Google title, continuing networking work, TCP/IP history, accessibility focus, and future research interests are documented.",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"How can a global network remain open, interoperable, and useful as its scale and applications change?",research_program_inference,https://cloud.google.com/transform/vint-cerf-on-50-years-of-the-internet-we-still-have-a-lot-of-work-to-do,ACM Turing Award; Internet Hall of Fame; Google Research; Internet standards adoption,high,Final canonical repair 2026-09-20: replaced failed canonical URL with current qualifying source.
Ion Stoica,researcher,Ion Stoica,"University of California, Berkeley",Romania / United States,,https://www2.eecs.berkeley.edu/Faculty/Homepages/stoica.html,CORE,Computer Science / Networks,distributed systems; cloud computing; network architecture,"Scalable distributed systems and networking systems including Chord, Mesos, Spark, and Ray that became widely used infrastructure",https://www.nasonline.org/member/ion-stoica/,https://www2.eecs.berkeley.edu/Faculty/Homepages/stoica.html,2026-09-20,NAS; Berkeley EECS; widely adopted systems,,Ion Stoica,Computer Science / Networks,distributed systems; cloud computing; network architecture,Romania / United States,"University of California, Berkeley","Scalable distributed systems and networking systems including Chord, Mesos, Spark, and Ray that became widely used infrastructure",broad_consensus,https://www.nasonline.org/member/ion-stoica/,https://www2.eecs.berkeley.edu/Faculty/Homepages/stoica.html,https://www2.eecs.berkeley.edu/Faculty/Homepages/stoica.html,institutional_scholarly_profile,active_maintained,"Berkeley EECS profile crawled 3 weeks ago and lists current chair, lab leadership, projects, and publications; audited 2026-09-20",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,How can distributed systems and networks scale reliably to serve global computation?,research_program_inference,https://www2.eecs.berkeley.edu/Faculty/Homepages/stoica.html,NAS; Berkeley EECS; widely adopted systems,high,
Lixia Zhang,researcher,Lixia Zhang,"University of California, Los Angeles",China / United States,,https://web.cs.ucla.edu/~lixia/,CORE,Computer Science / Networks,Internet architecture; named data networking; congestion control,"Internet architecture and protocol design, including the IETF Random Early Detection work and Named Data Networking",https://www.nasonline.org/member/lixia-zhang/,https://samueli.ucla.edu/people/lixia-zhang/,2026-09-20,NAE; UCLA Samueli; Internet protocol adoption,,Lixia Zhang,Computer Science / Networks,Internet architecture; named data networking; congestion control,China / United States,"University of California, Los Angeles","Internet architecture and protocol design, including the IETF Random Early Detection work and Named Data Networking",broad_consensus,https://www.nasonline.org/member/lixia-zhang/,https://samueli.ucla.edu/people/lixia-zhang/,https://web.cs.ucla.edu/~lixia/,personal_research_site,active_maintained,Personal page records May 2026 NDN updates; UCLA Samueli page is current and lists recognition and research; audited 2026-09-20,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,How can the Internet evolve architecturally to remain scalable and useful?,explicit_self_statement,https://web.cs.ucla.edu/~lixia/,NAE; UCLA Samueli; Internet protocol adoption,high,
Nick McKeown,researcher,Nick McKeown,"Stanford University, emeritus",United Kingdom / United States,,https://profiles.stanford.edu/nick-mckeown,CORE,Computer Science / Networks,Internet architecture; packet switching; programmable networks,"High-performance packet switching, software-defined networking, and programmable network architecture",https://www.nasonline.org/member/nick-mckeown/,https://profiles.stanford.edu/nick-mckeown,2026-09-20,NAE; Stanford Profiles; ACM SIGCOMM/IEEE recognition,,Nick McKeown,Computer Science / Networks,Internet architecture; packet switching; programmable networks,United Kingdom / United States,"Stanford University, emeritus","High-performance packet switching, software-defined networking, and programmable network architecture",broad_consensus,https://www.nasonline.org/member/nick-mckeown/,https://profiles.stanford.edu/nick-mckeown,https://profiles.stanford.edu/nick-mckeown,institutional_scholarly_profile,active_maintained,"Stanford profile has 2026-27 teaching, current board roles, and recent 2025 publications; audited 2026-09-20",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"How should the Internet be designed to remain fast, scalable, and programmable?",explicit_self_statement,https://profiles.stanford.edu/nick-mckeown,NAE; Stanford Profiles; ACM SIGCOMM/IEEE recognition,high,
William Kahan,researcher,William Kahan,"University of California, Berkeley, professor emeritus",Canada / United States,,https://people.eecs.berkeley.edu/~wkahan/,CORE,computer science / numerical analysis,floating-point arithmetic; scientific computing; standards,"Created the Kahan summation algorithm and was instrumental in the IEEE 754 floating-point standard, shaping reliable numerical computing.",https://awards.acm.org/award_winners/?172=,https://www2.eecs.berkeley.edu/Faculty/Homepages/kahan.html,2026-09-20,major_award_expanded_verify_batch_8 Wikidata lead,Living emeritus; personal site is archival/evergreen and Berkeley profile is current.,William Kahan,computer science / numerical analysis,floating-point arithmetic; scientific computing; standards,Canada / United States,"University of California, Berkeley, professor emeritus","Created the Kahan summation algorithm and was instrumental in the IEEE 754 floating-point standard, shaping reliable numerical computing.",broad_consensus,https://awards.acm.org/award_winners/?172=,https://www2.eecs.berkeley.edu/Faculty/Homepages/kahan.html,https://people.eecs.berkeley.edu/~wkahan/,personally directed research website,current_evergreen,Berkeley profile crawled 3 weeks ago and links the personal homepage; homepage remains a substantive archive of floating-point work.,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;repeated_research_judgment,strong,How can numerical computation represent real quantities accurately enough for science and engineering?,research_program_inference,https://people.eecs.berkeley.edu/~wkahan/,major_award_expanded_verify_batch_8 Wikidata lead,high,Living emeritus; personal site is archival/evergreen and Berkeley profile is current.
Jack Dongarra,researcher,Jack Dongarra,"University of Tennessee, emeritus; Oak Ridge National Laboratory",United States,,https://eecs.utk.edu/people/jack-dongarra/,CORE,computer science / numerical computing,high performance computing; numerical linear algebra; scientific software,"Created foundational numerical software and benchmarks, including LINPACK and the Top500, shaping scientific high performance computing.",https://awards.acm.org/award_winners/dongarra_4494897,https://eecs.utk.edu/people/jack-dongarra/,2026-09-20,major_award_expanded_verify_batch_3 Wikidata lead,Living emeritus; current UTK profile replaces old Netlib lead.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='current' mapped to active_maintained; source maintenance wording retained.,Jack Dongarra,computer science / numerical computing,high performance computing; numerical linear algebra; scientific software,United States,"University of Tennessee, emeritus; Oak Ridge National Laboratory","Created foundational numerical software and benchmarks, including LINPACK and the Top500, shaping scientific high performance computing.",broad_consensus,https://awards.acm.org/award_winners/dongarra_4494897,https://eecs.utk.edu/people/jack-dongarra/,https://eecs.utk.edu/people/jack-dongarra/,institutional personal profile,active_maintained,"UTK profile is live with current emeritus appointments, research packages and affiliations.",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;repeated_research_judgment,strong,How can algorithms and software harness parallel computers to solve large scientific problems reliably?,research_program_inference,https://eecs.utk.edu/people/jack-dongarra/,major_award_expanded_verify_batch_3 Wikidata lead,high,Living emeritus; current UTK profile replaces old Netlib lead.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='current' mapped to active_maintained; source maintenance wording retained.
Martin Odersky,researcher,Martin Odersky,"EPFL, Professor and head of Programming Methods Laboratory",Switzerland,,https://people.epfl.ch/martin.odersky?lang=en,CORE,Computer Science / Programming Languages,Scala; compilers; type systems; object-functional programming,"Designed Scala and advanced the integration of object-oriented and functional programming, compilers, and type systems",https://people.epfl.ch/martin.odersky?lang=en,https://www.scala-lang.org/,2026-09-20,EPFL; ACM/SIGPLAN recognition; Scala language adoption,,Martin Odersky,Computer Science / Programming Languages,Scala; compilers; type systems; object-functional programming,Switzerland,"EPFL, Professor and head of Programming Methods Laboratory","Designed Scala and advanced the integration of object-oriented and functional programming, compilers, and type systems",field_consensus,https://people.epfl.ch/martin.odersky?lang=en,https://www.scala-lang.org/,https://people.epfl.ch/martin.odersky?lang=en,institutional_scholarly_profile,current_evergreen,"EPFL profile crawled 4 days ago and lists current research, role, and Scala work; Scala remains an actively maintained language ecosystem; audited 2026-09-20",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"How can programming languages make software safer, more expressive, and easier to compose?",research_program_inference,https://people.epfl.ch/martin.odersky?lang=en,EPFL; ACM/SIGPLAN recognition; Scala language adoption,high,
Gilles Brassard,researcher,Gilles Brassard,Université de Montréal; Institut Courtois,Canada,,https://recherche.umontreal.ca/chercheur/is/in13606/,CORE,computer science / quantum information,cryptography; quantum communication; complexity,"Co-invented quantum cryptography and quantum teleportation, establishing core protocols of quantum information science.",https://awards.acm.org/award_winners/brassard_3401812,https://recherche.umontreal.ca/chercheur/is/in13606/,2026-09-20,major_award_expanded_verify_batch_3 Wikidata lead,Living; current institutional profile replaces old personal homepage.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='current' mapped to active_maintained; source maintenance wording retained.,Gilles Brassard,computer science / quantum information,cryptography; quantum communication; complexity,Canada,Université de Montréal; Institut Courtois,"Co-invented quantum cryptography and quantum teleportation, establishing core protocols of quantum information science.",broad_consensus,https://awards.acm.org/award_winners/brassard_3401812,https://recherche.umontreal.ca/chercheur/is/in13606/,https://recherche.umontreal.ca/chercheur/is/in13606/,institutional research profile,active_maintained,"Université de Montréal profile is live and current with research, awards and affiliation; Institut Courtois page corroborates.",2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;repeated_research_judgment,strong,How can quantum information be used to secure communication and transform computation?,research_program_inference,https://recherche.umontreal.ca/chercheur/is/in13606/,major_award_expanded_verify_batch_3 Wikidata lead,high,Living; current institutional profile replaces old personal homepage.; QA enum normalization: consensus_class='major award + independent authoritative consensus' mapped to broad_consensus.; QA enum normalization: website_status='current' mapped to active_maintained; source maintenance wording retained.
Subhash Khot,researcher,Subhash Khot,"New York University, Silver Professor; IBM Research Senior Mathematician",India / United States,,https://cs.nyu.edu/~khot/,CORE,Computer Science / Theoretical Computer Science,complexity theory; approximation algorithms; hardness,Developed the Unique Games Conjecture and foundational hardness-of-approximation theory,https://www.macfound.org/fellows/class-of-2016/subhash-khot,https://cims.nyu.edu/people/profiles/KHOT_Subhash.html,2026-09-20,MacArthur; IMU Nevanlinna Prize; NYU; canonical complexity theory,,Subhash Khot,Computer Science / Theoretical Computer Science,complexity theory; approximation algorithms; hardness,India / United States,"New York University, Silver Professor; IBM Research Senior Mathematician",Developed the Unique Games Conjecture and foundational hardness-of-approximation theory,broad_consensus,https://www.macfound.org/fellows/class-of-2016/subhash-khot,https://cims.nyu.edu/people/profiles/KHOT_Subhash.html,https://cs.nyu.edu/~khot/,personal_research_site,active_maintained,Personal page crawled 2 weeks ago and records current 2026 IBM/NYU roles and teaching; NYU profile crawled 2 months ago; audited 2026-09-20,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,"Which computational problems are inherently hard, and how can that hardness be characterized sharply?",research_program_inference,https://cs.nyu.edu/~khot/,MacArthur; IMU Nevanlinna Prize; NYU; canonical complexity theory,high,
Edward Feigenbaum,researcher,Edward Feigenbaum,"Stanford University, Professor Emeritus",United States,,https://www.cs.stanford.edu/people/edward-feigenbaum,CORE,computer science and artificial intelligence,knowledge representation; expert systems; machine reasoning,Pioneered knowledge-based expert systems and made domain knowledge computationally usable for reasoning.,https://amturing.acm.org/award_winners/feigenbaum_6171344.cfm,https://www.cs.stanford.edu/people/edward-feigenbaum,2026-09-20,major_award_verified_batch_2.csv; source-ledger award/independent-consensus verification,QA enum normalization: consensus_class='major_award_plus_independent_institutional_consensus' mapped to broad_consensus.; QA restored shifted source note: Living and active.,Edward Feigenbaum,computer science and artificial intelligence,knowledge representation; expert systems; machine reasoning,United States,"Stanford University, Professor Emeritus",Pioneered knowledge-based expert systems and made domain knowledge computationally usable for reasoning.,broad_consensus,https://amturing.acm.org/award_winners/feigenbaum_6171344.cfm,https://www.cs.stanford.edu/people/edward-feigenbaum,https://www.cs.stanford.edu/people/edward-feigenbaum,substantive_institutional_profile,current_evergreen,Current Stanford CS and HAI profiles list emeritus status and knowledge-based systems; old personal CV is stale.,2026-09-20,important_attackable_problem;generative_work_others_build_on;nonincremental_contribution;conceptual_reframing;repeated_research_judgment;clear_communication,strong,How can knowledge representation and domain expertise be embedded in computer systems to produce useful reasoning?,research_program_inference,https://www.cs.stanford.edu/people/edward-feigenbaum,major_award_verified_batch_2.csv; source-ledger award/independent-consensus verification,high,QA enum normalization: consensus_class='major_award_plus_independent_institutional_consensus' mapped to broad_consensus.; QA restored shifted source note: Living and active.
