candidate_id,canonical_entity_id,canonical_name,entity_type,parent_entity,pi_or_lead,institution,city,country,canonical_url,alternate_urls,active_status,last_activity_evidence,relevance_class,relevance_confidence,primary_topics,secondary_topics,relevance_summary,evidence_url_1,evidence_url_2,evidence_quote_or_paraphrase,relationship_notes,discovery_source,verification_status,count_in_headline,notes
R0017,E-R0017,ELLIS Unit Graz,center,,Wolfgang Maass,ELLIS / Graz Center for Machine Learning (GraML) / TU Graz,Graz,Austria,https://ellis.eu/research/sites/unit-graz,,ACTIVE,"ELLIS Sites ICML Fest 2026 hosted by thirteen ELLIS Sites, and a 2026 article titled 'ELLIS Unit Graz: Foundational Machine Learning, from Brain-Inspired to Trustworthy AI'",CORE,high,neuromorphic-computing;representation-learning;recurrent-computation,continual-learning;local-learning;neural-dynamics,"The ELLIS Unit Graz lists current research fields including analysis of learning processes in the brain through theory and large-scale models and bio-inspired, energy-efficient machine learning.",https://ellis.eu/research/sites/unit-graz,https://ellis.eu/news/ellis-unit-graz-brain-inspired-to-trustworthy-ai,The unit's current research fields explicitly include analysis of learning processes in the brain through theory and large-scale models alongside bio-inspired and energy-efficient machine learning.,Center-level ELLIS unit at GraML/TU Graz; overlaps institutionally with member labs such as the Institute of Machine Learning and Neural Computation (Legenstein) and Maass's IML; no automatic merge decision.,ELLIS/EuroNMC continental network roster,SOURCE_SUPPORTED,1,Confirmed as an ELLIS unit with its own roster and research fields; Maass as PI is not confirmed by the fetched page text. | Prior: CORE
R0018,E-R0018,Institute of Machine Learning and Neural Computation (Legenstein Lab),lab,,Robert Legenstein,TU Graz,Graz,Austria,https://www.tugraz.at/institute/iml/people/prof-legenstein/research,,LIKELY_ACTIVE,,CORE,high,biologically-plausible-learning;spiking-neural-networks;synaptic-plasticity;neuromorphic-computing;local-learning,neural-dynamics;representation-learning,Legenstein's group models computation and learning in spiking neural networks to understand biological nervous systems and apply the paradigms to artificial computing devices.,https://www.tugraz.at/institute/iml/people/prof-legenstein/research,https://www.tugraz.at/institute/iml/home,"The research page states his focus on models of computation and learning in spiking neural networks, aiming to understand biological nervous systems and apply such paradigms to artificial computing devices.",Member lab within TU Graz IML and institutionally associated with the ELLIS Unit Graz; related to but distinct from Maass's IML work.,verified-additions audit,SOURCE_SUPPORTED,1,"Page confirms identity and biology-to-AI mechanism; no dated 2024-2026 output on this page, so LIKELY_ACTIVE. | Prior: CORE"
R0019,E-R0019,Jie Mei Computational Neuroscience Group,lab,,Jie Mei,Interdisciplinary Transformation University Austria (IT:U),Linz,Austria,https://it-u.at/en/research/professors/jie-mei/,,ACTIVE,2025 arXiv preprint 'The role of gain neuromodulation in layer-5 pyramidal neurons' (arXiv:2507.03222) co-authored by Jie Mei,CORE,high,neuromodulation;three-factor-learning;continual-learning;stability-plasticity,dendritic-computation;predictive-coding;cognitive-control,"Mei's IT:U lab explicitly states it studies how biological brain learning, beginning with neuromodulator interactions, can inspire more flexible and adaptive learning in artificial neural networks.",https://it-u.at/en/research/professors/jie-mei/,https://arxiv.org/abs/2501.06762,"The lab statement says it studies how biological brain learning can inspire new AI models, starting with neuromodulators such as dopamine and serotonin to inspire more flexible and adaptive learning in ANNs.","First-party IT:U professorship page; group is identifiable but not separately named, so ranked as a lab-level unit led by Mei.",FENS Regional Meeting 2025 NeuroAI symposium and official IT:U faculty roster,SOURCE_SUPPORTED,1,Profile is first-party and current with 2025 publication listed. | Prior: CORE
R0021,E-R0021,Vogels Group — Computational Neuroscience and Neurotheory,lab,,Tim P. Vogels,Institute of Science and Technology Austria (ISTA),Klosterneuburg,Austria,https://www.ista.ac.at/en/research/vogels-group/,,LIKELY_ACTIVE,,CORE,high,synaptic-plasticity;structural-plasticity;spiking-neural-networks;biologically-plausible-learning;neuromodulation,attractor-networks;memory-consolidation;dendritic-computation;neural-dynamics,"The Vogels Group builds mechanistic models of synaptic plasticity, neuromodulation, and spiking network computation to understand biological learning and translationally inform machine-learning models.",https://www.ista.ac.at/en/research/vogels-group/,https://research-explorer.ista.ac.at/project/0aacfa84-070f-11eb-9043-d7eb2c709234,The group page describes building mechanistic models of synaptic plasticity to determine how the brain updates synaptic connections and how learning is guided by neuromodulatory signals.,ISTA lab distinct from Zenke group and Gatsby-related units; collaboration noted with EPFL and CNCB Oxford.,2025 structural-plasticity paper and ISTA group/project roster,SOURCE_SUPPORTED,1,"Group page confirms identity and biological-learning mechanism; no dated 2024-2026 output in fetched text, though page is a current official listing. | Prior: CORE | Activity downgraded: no dated evidence recorded"
R0023,E-R0023,Neuroengineering Laboratory (Franci Lab),lab,,Alessio Franci,University of Liège,Liège,Belgium,https://www.neuroengineering.uliege.be/,,LIKELY_ACTIVE,,CORE,medium,neuromorphic-computing;biologically-plausible-learning;embodied-cognition;neuromodulation;neurorobotics,neural-dynamics;recurrent-computation;decision-making,"The Neuroengineering Lab states it advances understanding of biological intelligence and applies it to build sustainable, resilient intelligent machines via neuromorphic engineering.",https://www.neuroengineering.uliege.be/,https://www.montefiore.uliege.be/cms/c_9653783/en/call-for-postdoctoral-researchers-full-description,"The lab page frames its work as understanding biological intelligence and applying it to create intelligent machines, including neuromorphic engineering inspired by the brain.",Official University of Liège lab; page also notes a reported IEEE honour for Franci's collective decision-making modelling.,Belgium neuromorphic sweep,SOURCE_SUPPORTED,1,"Lab identity and bio-to-machine mission are supported; no dated 2024-2026 output in fetched text, so LIKELY_ACTIVE. | Prior: CORE"
R0024,E-R0024,Neuromorphic Control Group — STADIUS,group,,Rodolphe Sepulchre,"KU Leuven, Department of Electrical Engineering / STADIUS",Leuven,Belgium,https://www.esat.kuleuven.be/stadius/stadiusincludes/person.php?id=2177,,ACTIVE,"2026 publication 'A neuromorphic architecture for scalable event-based control' in Neuromorphic Computing and Engineering, plus 2026 IEEE TAC and Control Systems Magazine papers",DIRECTLY_RELEVANT,high,neuromorphic-computing;event-driven-computation;spiking-neural-networks;recurrent-computation;neural-dynamics,embodied-cognition;physical-neural-networks;adaptive-robotics,"Sepulchre's group develops a spiking, event-based control theory for physical systems, explicitly drawing design principles from animal spiking computation and publishing on neuromorphic control architectures.",https://www.esat.kuleuven.be/stadius/stadiusincludes/person.php?id=2177,https://research.kuleuven.be/portal/en/project/3E230050,"The STADIUS person page lists current projects and publications on spiking control systems and neuromorphic architectures for event-based control, including 2024-2026 outputs.","Group listed under STADIUS, KU Leuven ESAT; overlaps with the broader ELEVATE project on event-based vision and actuation.",2026 review author trail and KU Leuven STADIUS roster,SOURCE_SUPPORTED,1,Current publication list confirms active 2024-2026 neuromorphic control program; classified DIRECTLY_RELEVANT because the mechanism is neuromorphic control/engineering rather than a biology-to-AI learning or cognitive model. | Prior: STRONGLY RELATED
R0025,E-R0025,UGent.AI Brain-Inspired and Neuromorphic Computing Group,lab,,Joni Dambre / Francis wyffels,Ghent University,Ghent,Belgium,https://ai.ugent.be/research/machine_learning.en.html,,LIKELY_ACTIVE,,DIRECTLY_RELEVANT,medium,neuromorphic-computing,,"The UGent.AI Machine Learning roster lists Joni Dambre with 'Brain inspired and neuromorphic computing' and Francis wyffels with brain-body optimisation and reinforcement learning, establishing a substantive brain-to-AI computational program.",https://ai.ugent.be/research/machine_learning.en.html,https://www.esat.kuleuven.be/lifelines/Activities,"The official UGent.AI Machine Learning research page lists Joni Dambre under deep learning and brain inspired and neuromorphic computing, and Francis wyffels under reinforcement learning and brain-body optimisation.",Description is a research roster rather than a single coordinated lab; Joni Dambre and Francis wyffels are listed as separate faculty with distinct topic sets.,Belgium AI roster sweep,SOURCE_SUPPORTED,1,Prior row classified CORE; page text supports brain-inspired/neuromorphic topics but not a unified lab structure or dated 2024-2026 activity. | Prior: CORE
R0027,E-R0027,Bio-inspired Computation Laboratory (BIOCOM),lab,,André Carlos Ponce de Leon Ferreira de Carvalho,University of São Paulo ICMC,São Carlos,Brazil,https://www.icmc.usp.br/en/research/groups/?lab=76,,LIKELY_ACTIVE,,DIRECTLY_RELEVANT,high,neural-dynamics,,"BIOCOM's official research-line listing includes computational neurodynamics and artificial neural networks alongside bio-inspired computation, giving a direct biological-neural-systems to AI modeling research line.",https://www.icmc.usp.br/en/research/groups/?lab=76,https://www.icmc.usp.br/pesquisa/grupos/?lab=76,"The ICMC research group page lists BIOCOM research lines including Computational neurodynamics, Artificial neural networks, Evolutionary computation, Machine learning, and Social Robotics.","Parent research area 'Artificial Intelligence (Bio-inspired Computation)' contains BIOCOM plus Robot Learning Lab and Massive Data Volume Analysis Lab, which may be separate member units.",official Portuguese/English group directory + Brazil search,SOURCE_SUPPORTED,1,"Page supports lab identity and computational-neurodynamics/neural-network research lines; no dated 2024-2026 output on fetched page. | Prior: CORE | Luna High round: PROMOTE / Page supports lab identity and computational-neurodynamics/neural-network research lines; no dated 2024-2026 output on fetched page. | Prior: CORE | Gate: ICMC identifies BIOCOM as a distinct lab whose official research lines include computational neurodynamics, artificial neural networks, evolutionary computation and social robotics; this is a direct biology/cognition-to-AI programme."
R0030,E-R0030,INCT NeuroComp,network,,Mauro Copelli and Adriano Tort,National Institute of Science and Technology in Neural Computation (Brazil),Recife / Natal,Brazil,https://inctneurocomp.com/,,LIKELY_ACTIVE,,CORE,high,neuromorphic-computing;synaptic-plasticity;neural-dynamics,,"INCT NeuroComp explicitly organizes research around experimental neuroscience, physics of neural systems, and artificial intelligence/neuro-inspired computing, coordinating 48 principal researchers across 18 Brazilian institutions.",https://inctneurocomp.com/,https://inctneurocomp.com/,"The network page states its aim to understand brain information processing and apply these principles to new technologies, with a dedicated axis on artificial intelligence and neuro-inspired computing.",National network-level record; member labs such as UFSC NeuroPhysics Laboratory are separately identifiable child units. | Context/parent or person; not an independent unit in headline total,official Portuguese/English network page + Brazil topic search,SOURCE_SUPPORTED,0,Identity and three research axes supported; no dated 2024-2026 activity on fetched page. | Prior: CORE
R0031,E-R0031,NeuroPhysics Laboratory – UFSC,lab,,Maurício Girardi-Schappo,Federal University of Santa Catarina (UFSC),Florianópolis,Brazil,https://ppgfsc.posgrad.ufsc.br/2025/11/13/oportunidade-de-bolsa-de-mestrado-doutorado-e-pos-doutorado/?lang=pt,,ACTIVE,13/11/2025; inscription period 01/Dezembro/2025 to 31/Janeiro/2026 for PhD and postdoc scholarships with Prof. Maurício.,CORE,high,neural-dynamics,,"The UFSC NeuroPhysics Laboratory explicitly aims to understand and model physical principles governing information processing in brains and artificial neural networks, with a current 2025-2026 doctoral and postdoctoral call.",https://ppgfsc.posgrad.ufsc.br/2025/11/13/oportunidade-de-bolsa-de-mestrado-doutorado-e-pos-doutorado/?lang=pt,https://encontro-pgfsc.ufsc.br/2026/,"The page explicitly names the Laboratório de NeuroFísica led by Prof. Maurício Girardi-Schappo and states its aim to understand and model physical principles governing information processing in brains and artificial neural networks, with doctoral/postdoc opportunities dated 01/Dezembro/2025 to 31/Janeiro/2026.","Explicitly a member of INCT NeuroComp, a child lab of that network.",INCT NeuroComp roster + Portuguese UFSC institutional directory search,SOURCE_SUPPORTED,1,"Identity, PI, and brain-to-artificial-network mechanism supported; prior row's claim of a mouse-robot spatial-memory task is not in the fetched text. | Prior: STRONGLY RELATED"
R0033,E-R0033,ANIMUS Lab,lab,,Mary Kelly,Carleton University,Ottawa,Canada,https://carleton.ca/animus/,,LIKELY_ACTIVE,Active Carleton University lab page with 2026 copyright and named PI; no dated 2024-2026 outputs in fetched text.,CORE,high,biologically-plausible-learning;cognitive-maps;representation-learning;semantic-memory;world-models,predictive-coding;memory-consolidation;decision-making,"ANIMUS Lab develops artificial neural networks and cognitive architectures inspired by human cognition and memory, explicitly aiming to bridge the gap between AI and natural minds.",https://carleton.ca/animus/,https://carleton.ca/animus/people/mary/,"The ANIMUS lab page states that it seeks to understand cognition through computational models and AI, developing neural networks and cognitive architectures inspired by AI and cognitive science, and examining how AI falls short of human cognition.",Mary Kelly is PI in Carleton's Department of Cognitive Science; lab distinct from other Carleton units.,final Canada cognitive-AI directory sample,SOURCE_SUPPORTED,1,"Official lab page supports identity and biology-to-AI motivation, though no dated recent outputs are shown. | Prior: CORE"
R0034,E-R0034,Applied Brain Research / Nengo,company_research,,Chris Eliasmith,Applied Brain Research,Waterloo,Canada,https://www.nengo.ai/,,LIKELY_ACTIVE,Nengo site lists current software and active forum; no specific 2024-2026 activity date in fetched text.,CORE,high,spiking-neural-networks;cognitive-maps;attractor-networks,neuromorphic-computing;adaptive-robotics;representation-learning,"Nengo, created by Applied Brain Research, provides tools to build spiking and traditional neural networks for cognitive modelling, deep learning, and neuromorphic hardware based on brain function.",https://www.nengo.ai/,https://www.nengo.ai/people/,"The Nengo site describes it as a Python package for building, testing, and deploying neural networks with spiking or non-spiking models, used for cognitive modelling, working memory, attractor dynamics, and planning on neuromorphic hardware.",Company product distinct from Eliasmith's University of Waterloo group; people page lists Chris Eliasmith as contributor.,company/nonprofit official-site sweep,SOURCE_SUPPORTED,1,Identity and brain-inspired computing mechanism are supported by page text. | Prior: CORE
R0035,E-R0035,Architectures of Biological Learning (ABL-Lab),lab,,Eilif B. Muller,Université de Montréal / CHU Sainte-Justine Research Center / Mila,Montreal,Canada,https://mila.quebec/fr/annuaire/eilif-b-muller,https://neuro.plasticit.ai,ACTIVE,Mila profile currently identifies Muller as principal investigator of ABL-Lab; current profile and research description were crawled in September 2026.,DIRECTLY_RELEVANT,medium,structural-plasticity;synaptic-plasticity;biologically-plausible-learning;dendritic-learning,representation-learning;three-factor-learning,"ABL-Lab studies biological and algorithmic learning in mammalian neocortex, including dendritic architecture and synaptic/structural plasticity as mechanisms relevant to biologically inspired learning.",https://mila.quebec/fr/annuaire/eilif-b-muller,https://mila.quebec/fr/annuaire/eilif-b-muller; https://neurosciences.umontreal.ca/recherche/les-chercheurs/eilif-muller/,"The lab homesite only shows a welcome line, and Muller's UdeM neuroscience profile page in French does not state the AI-translation mechanism in the fetched text.",UdeM/Mila lab identity distinct from other Montreal units.,French-language Canadian computational-neuroscience directory frame,SOURCE_SUPPORTED,1,"Homepage is a stub and the UdeM page does not clearly state the biology-to-AI mechanism; relevance rests mainly on prior context, so verification is partial. | Prior: CORE | Luna High round: SOURCE_LIMITED / The live ABL homepage is a stub and the UdeM profile does not establish the claimed biology-to-AI mechanism. Homepage is a stub and the UdeM page does not clearly state the biology-to-AI mechanism; relevance rests mainly on prior context, so verification is partial. | Prior: CORE Live URL check 2026-09-19: canonical returned HTTP 200; evidence_1 returned HTTP 200; evidence_2 returned HTTP 200. | Final Luna closure: PROMOTE / Independent PI-led lab identity and direct biology-to-learning mechanism are supported by the current Mila and UdeM profiles; the prior stub homepage is superseded by these institutional records. | Independent positive gate: Current Mila/UdeM profiles identify an independent PI-led ABL lab and a substantive mammalian cortical plasticity and biological-learning mechanism."
R0037,E-R0037,Centre for Theoretical Neuroscience,center,,Chris Eliasmith and centre faculty,University of Waterloo,Waterloo,Canada,https://uwaterloo.ca/centre-for-theoretical-neuroscience/,,LIKELY_ACTIVE,Centre page lists recent book by founding member Paul Thagard including discussion of generative AI models such as ChatGPT.,DIRECTLY_RELEVANT,high,cognitive-maps;attractor-networks,decision-making;representation-learning;spiking-neural-networks,"The Waterloo Centre for Theoretical Neuroscience hosts several labs modeling brain computation, providing the theoretical foundation for subsequent brain-inspired AI architectures such as the Legendre Memory Unit and Spatial Semantic Pointers.",https://uwaterloo.ca/centre-for-theoretical-neuroscience/,https://www.compneuro.uwaterloo.ca/,"The centre page describes an interdisciplinary Waterloo initiative of several labs studying theoretical/computational neuroscience, and its member CNRG site states their brain-based models such as LMU and SSPs are helping to improve deep learning.",Parent centre containing the Computational Neuroscience Research Group and other labs; kept separate as a parent container. | Context/parent or person; not an independent unit in headline total,official centre page + seed verification,SOURCE_SUPPORTED,0,Centre identity and computational-neuroscience scope are supported; downstream AI relevance established via member lab CNRG text. | Prior: STRONGLY RELATED
R0038,E-R0038,Computational Neuroscience Research Group,lab,E-R0037,Chris Eliasmith,University of Waterloo,Waterloo,Canada,https://www.compneuro.uwaterloo.ca/,,LIKELY_ACTIVE,"Listing of current research topics including spiking LQR control, active exploration, and embodied neural agents.",CORE,high,spiking-neural-networks;cognitive-maps;semantic-memory,neuromorphic-computing;compositionality;active-perception;planning;attractor-networks,Waterloo's CNRG builds large-scale biologically grounded neural models and translates them into AI tools such as the Legendre Memory Unit and Spatial Semantic Pointers that improve deep learning.,https://www.compneuro.uwaterloo.ca/,https://uwaterloo.ca/centre-for-theoretical-neuroscience/,"The CNRG page states the group builds large-scale models of brain areas using Nengo and that they recently proposed the Legendre Memory Unit and Spatial Semantic Pointers based on brain function, both helping to improve deep learning.",One of the labs within the Waterloo Centre for Theoretical Neuroscience; related to Nengo/Applied Brain Research but distinct.,official group/person pages + country search,SOURCE_SUPPORTED,1,"Identity, PI affiliation, and biology-to-AI mechanism are supported by page text. | Prior: CORE"
